"BiocVersion","Genome","SourceVersion","Coordinate_1_based","Maintainer","Title","Description","SourceType","DataProvider","RDataClass","DispatchClass","RDataPath","Species","TaxonomyId","SourceUrl"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.fasta","rRNA and tRNA sequences from S. cerevisiae. rRNA sequences from SGD and tRNA sequences retrieved from tRNAscan-SE output were used. tRNA sequences with Levensthein distances >= 3 were kept. This is used as anartificial genome for example data.","FASTA","SGD, tRNAscan-SE","FaFile","FaFileResource","RNAmodR.Data/example.fasta","Saccharomyces cerevisiae S288C","559292","http://www.lafontainelab.com"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.gff3","Artificial annotations for rRNA and tRNA sequences from S. cerevisiae. rRNA sequences from SGD and tRNA sequences retrieved from tRNAscan-SE output were used. tRNA sequences with Levensthein distances >= 3 were kept. This is used as an artificial genome for example data.","GFF","SGD, tRNAscan-SE","GFF3File","GFF3FileResource","RNAmodR.Data/example.gff3","Saccharomyces cerevisiae S288C","559292","http://www.lafontainelab.com"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.bam.1","Mapped reads to artificial genome. Reads were taken from sequencing results from AlkAnilineSeq project (DOI: 10.1002/anie.201810946). Replicate 1","FASTQ","UMS2008 Next Generation Sequencing (NGS) Core Facility, Lorraine University","BamFile","BamFileResource","RNAmodR.Data/example1.bam,RNAmodR.Data/example1.bai","Saccharomyces cerevisiae S288C","559292","http://www.lafontainelab.com"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.bam.2","Mapped reads to artificial genome. Reads were taken from sequencing results from AlkAnilineSeq project (DOI: 10.1002/anie.201810946). Replicate 2","FASTQ","UMS2008 Next Generation Sequencing (NGS) Core Facility, Lorraine University","BamFile","BamFileResource","RNAmodR.Data/example2.bam,RNAmodR.Data/example2.bai","Saccharomyces cerevisiae S288C","559292","http://www.lafontainelab.com"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.bam.3","Mapped reads to artificial genome. Reads were taken from sequencing results from AlkAnilineSeq project (DOI: 10.1002/anie.201810946). Replicate 3","FASTQ","UMS2008 Next Generation Sequencing (NGS) Core Facility, Lorraine University","BamFile","BamFileResource","RNAmodR.Data/example3.bam,RNAmodR.Data/example3.bai","Saccharomyces cerevisiae S288C","559292","http://www.lafontainelab.com"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.RMS.fasta","5.8S rRNA sequence from H. sapiens.","FASTA","SGD, tRNAscan-SE","FaFile","FaFileResource","RNAmodR.Data/example_RMS.fasta","Homo sapiens","9606","http://www.lafontainelab.com"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.RMS.gff3","Artificial annotation for 5.8S rRNA sequence from H. sapiens.","GFF","SGD, tRNAscan-SE","GFF3File","GFF3FileResource","RNAmodR.Data/example_RMS.gff3","Homo sapiens","9606","http://www.lafontainelab.com"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.RMS.1","Mapped reads to 5.8S rRNA of H. sapiens. Reads were taken from sequencing results from RiboMethSeq project (DOI: tbd). Replicate 1","FASTQ","UMS2008 Next Generation Sequencing (NGS) Core Facility, Lorraine University","BamFile","BamFileResource","RNAmodR.Data/example_RMS1.bam,RNAmodR.Data/example_RMS1.bai","Homo sapiens","9606","http://www.lafontainelab.com"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.RMS.2","Mapped reads to 5.8S rRNA of H. sapiens. Reads were taken from sequencing results from RiboMethSeq project (DOI: tbd). Replicate 2","FASTQ","UMS2008 Next Generation Sequencing (NGS) Core Facility, Lorraine University","BamFile","BamFileResource","RNAmodR.Data/example_RMS2.bam,RNAmodR.Data/example_RMS2.bai","Homo sapiens","9606","http://www.lafontainelab.com"
"4.0",NA,NA,TRUE,"Felix G.M. Ernst <felix.gm.ernst@outlook.com>","RNAmodR.Data.example.AAS.fasta","18S rRNA and 10 tRNA sequences from S. cerevisiae. rRNA sequence from SGD and tRNA sequences retrieved from tRNAscan-SE output were used. 10 tRNA were selected manually. This is used as an artificial genome for example data and sequences are named chr1-chr11.","FASTA","SGD, tRNAscan-SE","FaFile","FaFileResource","RNAmodR.Data/example_AAS.fasta","Saccharomyces cerevisiae S288C","559292","http://www.lafontainelab.com"
